timestamp,truck_id,source_block_id,tonnes,grade_cu_pct,grade_au_gpt,coarse_frac,moisture_pct,size_p80_mm,dump_easting,dump_northing
90,CAT793-01,B2100,209.4,0.261,0.108,0.467,3.0,203,12.0,24.0
180,CAT793-02,B2100,218.4,0.687,0.168,0.324,3.0,172,20.0,24.0
270,CAT793-03,B2100,210.1,0.320,0.148,0.449,3.0,148,28.0,24.0
360,CAT793-04,B2100,207.2,0.587,0.186,0.396,3.0,206,36.0,24.0
450,CAT793-05,B2101,195.8,0.627,0.118,0.329,3.0,136,44.0,24.0
540,CAT793-06,B2101,213.7,0.718,0.138,0.336,3.0,180,52.0,24.0
630,CAT793-01,B2101,214.6,0.789,0.100,0.365,3.0,170,60.0,24.0
720,CAT793-02,B2101,205.5,0.591,0.200,0.252,3.0,164,68.0,24.0
810,CAT793-03,B2102,216.1,0.837,0.147,0.394,3.0,249,76.0,24.0
900,CAT793-04,B2102,812.0,0.546,0.124,0.270,3.0,241,84.0,24.0
990,CAT793-05,B2102,235.3,0.576,0.075,0.547,3.0,280,92.0,24.0
1080,CAT793-06,B2102,201.7,0.466,0.132,0.388,3.0,223,100.0,24.0
1170,CAT793-01,B2103,229.6,0.733,0.139,0.387,3.0,153,12.0,24.0
1260,CAT793-02,B2103,224.2,0.667,0.130,0.414,3.0,177,20.0,24.0
1350,CAT793-03,B2103,218.2,0.465,0.178,0.318,3.0,199,28.0,24.0
1440,CAT793-04,B2103,232.1,4.900,0.051,0.307,3.0,170,36.0,24.0
1530,CAT793-05,B2104,229.3,0.315,0.100,0.370,3.0,106,44.0,24.0
1620,CAT793-06,B2104,194.7,0.900,0.068,0.275,3.0,198,52.0,24.0
1710,CAT793-01,B2104,221.7,0.430,0.079,0.210,3.0,274,60.0,24.0
1800,CAT793-02,B2104,224.4,0.743,0.107,0.326,3.0,216,68.0,24.0
1890,CAT793-03,B2105,237.9,0.403,0.098,0.185,24.5,111,76.0,24.0
1980,CAT793-04,B2105,199.9,0.654,0.069,0.320,3.0,162,84.0,24.0
2070,CAT793-05,B2105,232.4,0.522,0.180,0.300,3.0,180,92.0,24.0
2160,CAT793-06,B2105,206.5,0.755,0.083,0.425,3.0,75,100.0,24.0
